,simbolo,desc,limite_inferior,ajuste_anterior,limite_superior,preco_abertura,preco_minimo,preco_maximo,preco_medio,ultimo_preco,volume,vencimento,contrato_aberto,numero_negociado,contrato_negociado,codigo,ultima_oferta_compra,mkt.cd,ultima_oferta_venda
21,DI1X23,DI DE 1 DIA,12.294,12.656,13.012,12.654,12.654,12.658,12.6566,12.658,5629018919.13,2023-11-01,630820.0,257.0,56852.0,DI1,12.654,FUT,12.66
27,DI1Z23,DI DE 1 DIA,11.956,12.414,12.874,12.396,12.394,12.42,12.4141,12.416,1023624669.33,2023-12-01,721229.0,26.0,10433.0,DI1,12.414,FUT,12.418
30,DI1F24,DI DE 1 DIA,11.674,12.251,12.812,12.236,12.23,12.262,12.2422,12.258,40392666194.44,2024-01-02,7930483.0,5275.0,415378.0,DI1,12.256,FUT,12.258
24,DI1G24,DI DE 1 DIA,11.475,12.102,12.76,12.06,12.06,12.11,12.0829,12.11,2483133514.29,2024-02-01,335208.0,186.0,25782.0,DI1,12.105,FUT,12.11
25,DI1H24,DI DE 1 DIA,11.255,11.95,12.695,11.91,11.91,11.96,11.9311,11.955,5900186057.68,2024-03-01,322631.0,155.0,61756.0,DI1,11.95,FUT,11.96
37,DI1J24,DI DE 1 DIA,11.06,11.834,12.66,11.795,11.79,11.845,11.814,11.845,23911917126.19,2024-04-01,1338406.0,3976.0,252402.0,DI1,11.84,FUT,11.845
32,DI1K24,DI DE 1 DIA,10.875,11.685,12.52,11.62,11.62,11.7,11.6558,11.7,341869172.38,2024-05-02,73630.0,32.0,3641.0,DI1,11.685,FUT,11.7
5,DI1M24,DI DE 1 DIA,10.725,11.572,12.43,11.51,11.5,11.58,11.5358,11.58,714923430.65,2024-06-03,79201.0,47.0,7679.0,DI1,11.56,FUT,11.575
26,DI1N24,DI DE 1 DIA,10.58,11.451,12.345,11.395,11.375,11.475,11.4218,11.46,34545711960.68,2024-07-01,1842514.0,15846.0,374004.0,DI1,11.46,FUT,11.465
34,DI1Q24,DI DE 1 DIA,10.445,11.349,12.28,11.265,11.265,11.365,11.2904,11.345,124232068.61,2024-08-01,69869.0,36.0,1357.0,DI1,11.345,FUT,11.355
20,DI1U24,DI DE 1 DIA,10.31,11.249,12.21,11.165,11.165,11.275,11.1823,11.26,75527753.5,2024-09-02,38849.0,38.0,832.0,DI1,11.245,FUT,11.26
0,DI1V24,DI DE 1 DIA,10.19,11.158,12.15,11.065,11.065,11.195,11.1249,11.17,9207098944.93,2024-10-01,580436.0,6667.0,102272.0,DI1,11.165,FUT,11.17
9,DI1F25,DI DE 1 DIA,9.985,11.009,11.985,10.86,10.86,11.045,10.962,11.015,79558090528.31,2025-01-02,4260038.0,72786.0,906056.0,DI1,11.015,FUT,11.02
16,DI1J25,DI DE 1 DIA,9.87,10.935,11.905,10.77,10.76,10.97,10.8704,10.94,10276354927.33,2025-04-01,1442358.0,3631.0,119869.0,DI1,10.94,FUT,10.945
2,DI1N25,DI DE 1 DIA,9.755,10.863,11.84,10.67,10.66,10.895,10.8209,10.865,11119033254.56,2025-07-01,1615225.0,12879.0,132876.0,DI1,10.865,FUT,10.87
17,DI1V25,DI DE 1 DIA,9.705,10.834,11.84,10.665,10.665,10.87,10.7763,10.84,5848255901.91,2025-10-01,369760.0,6717.0,71737.0,DI1,10.84,FUT,10.845
28,DI1F26,DI DE 1 DIA,9.66,10.814,11.815,10.62,10.62,10.85,10.7609,10.82,42370612000.47,2026-01-02,3730635.0,63045.0,533470.0,DI1,10.815,FUT,10.82
36,DI1J26,DI DE 1 DIA,9.69,10.851,11.865,10.71,10.71,10.89,10.7932,10.865,175450419.84,2026-04-01,79481.0,221.0,2266.0,DI1,10.855,FUT,10.865
19,DI1N26,DI DE 1 DIA,9.745,10.914,11.93,10.7,10.7,10.95,10.875,10.915,5675092177.17,2026-07-01,1983585.0,8164.0,75289.0,DI1,10.915,FUT,10.92
38,DI1V26,DI DE 1 DIA,9.815,10.99,12.02,10.865,10.865,11.025,10.9529,10.99,38452370.18,2026-10-01,95540.0,99.0,525.0,DI1,10.985,FUT,10.995
7,DI1F27,DI DE 1 DIA,9.855,11.028,12.07,10.845,10.845,11.06,10.9736,11.025,19543081954.54,2027-01-04,1566754.0,42357.0,274017.0,DI1,11.025,FUT,11.035
12,DI1J27,DI DE 1 DIA,9.94,11.111,12.155,11.005,11.005,11.135,11.0585,11.12,14016623.36,2027-04-01,45567.0,45.0,202.0,DI1,11.095,FUT,11.115
1,DI1N27,DI DE 1 DIA,9.995,11.167,12.22,11.04,11.015,11.205,11.0738,11.17,10512599695.99,2027-07-01,466319.0,8162.0,155607.0,DI1,11.165,FUT,11.17
13,DI1V27,DI DE 1 DIA,10.065,11.238,12.29,11.205,11.15,11.245,11.2075,11.245,5300476.92,2027-10-01,58355.0,14.0,81.0,DI1,11.225,FUT,11.24
14,DI1F28,DI DE 1 DIA,10.13,11.309,12.38,11.14,11.14,11.34,11.2551,11.31,3484171633.87,2028-01-03,337248.0,8387.0,54776.0,DI1,11.3,FUT,11.305
11,DI1J28,DI DE 1 DIA,10.195,11.37,12.44,11.235,11.235,11.375,11.2972,11.375,2782300.8,2028-04-03,15727.0,5.0,45.0,DI1,11.35,FUT,11.375
33,DI1N28,DI DE 1 DIA,10.255,11.425,12.5,11.37,11.37,11.455,11.3982,11.43,49670971.94,2028-07-03,28002.0,43.0,828.0,DI1,11.405,FUT,11.43
