,simbolo,desc,limite_inferior,ajuste_anterior,limite_superior,preco_abertura,preco_minimo,preco_maximo,preco_medio,ultimo_preco,volume,vencimento,contrato_aberto,numero_negociado,contrato_negociado,codigo,ultima_oferta_compra,mkt.cd,ultima_oferta_venda,data_consulta
20,DI1X23,DI DE 1 DIA,12.292,12.652,13.012,12.654,12.654,12.654,12.654,12.654,2279430.18,2023-11-01,797168.0,1.0,23.0,DI1,12.652,FUT,12.654,2023-10-04 11:09:46.849839
26,DI1Z23,DI DE 1 DIA,11.956,12.409,12.874,12.438,12.42,12.438,12.436,12.42,12275291.52,2023-12-01,588948.0,2.0,125.0,DI1,12.408,FUT,12.418,2023-10-04 11:09:46.849839
29,DI1F24,DI DE 1 DIA,11.69,12.253,12.83,12.25,12.246,12.268,12.2552,12.252,11459500877.78,2024-01-02,7843048.0,1748.0,117739.0,DI1,12.252,FUT,12.254,2023-10-04 11:09:46.849839
23,DI1G24,DI DE 1 DIA,11.505,12.117,12.79,12.12,12.11,12.125,12.1204,12.125,70942708.34,2024-02-01,324816.0,66.0,736.0,DI1,12.105,FUT,12.125,2023-10-04 11:09:46.849839
24,DI1H24,DI DE 1 DIA,11.32,11.979,12.755,11.97,11.97,11.97,11.97,11.97,3442054.32,2024-03-01,318799.0,1.0,36.0,DI1,11.955,FUT,11.97,2023-10-04 11:09:46.849839
36,DI1J24,DI DE 1 DIA,11.155,11.877,12.75,11.885,11.84,11.885,11.8586,11.855,11463726224.98,2024-04-01,1399311.0,1097.0,120921.0,DI1,11.85,FUT,11.855,2023-10-04 11:09:46.849839
31,DI1K24,DI DE 1 DIA,11.0,11.732,12.645,11.71,11.71,11.735,11.7311,11.735,25645845.63,2024-05-02,78054.0,3.0,273.0,DI1,11.69,FUT,11.72,2023-10-04 11:09:46.849839
5,DI1M24,DI DE 1 DIA,10.87,11.624,12.58,11.58,11.58,11.6,11.5909,11.6,39310181.7,2024-06-03,76532.0,23.0,422.0,DI1,11.575,FUT,11.61,2023-10-04 11:09:46.849839
25,DI1N24,DI DE 1 DIA,10.745,11.515,12.51,11.525,11.445,11.525,11.4852,11.475,17964280168.44,2024-07-01,1855310.0,3395.0,194430.0,DI1,11.47,FUT,11.48,2023-10-04 11:09:46.849839
33,DI1Q24,DI DE 1 DIA,10.63,11.423,12.465,11.37,11.365,11.42,11.3881,11.365,107767486.02,2024-08-01,68521.0,37.0,1177.0,DI1,11.365,FUT,11.395,2023-10-04 11:09:46.849839
19,DI1U24,DI DE 1 DIA,10.51,11.321,12.405,11.275,11.26,11.325,11.2981,11.26,122448007.89,2024-09-02,38348.0,7.0,1349.0,DI1,11.275,FUT,11.305,2023-10-04 11:09:46.849839
0,DI1V24,DI DE 1 DIA,10.42,11.253,12.375,11.305,11.17,11.305,11.2089,11.205,2139314184.67,2024-10-01,556640.0,1229.0,23811.0,DI1,11.205,FUT,11.21,2023-10-04 11:09:46.849839
8,DI1F25,DI DE 1 DIA,10.285,11.127,12.28,11.095,11.015,11.12,11.0647,11.07,33705126797.36,2025-01-02,4093486.0,18052.0,384053.0,DI1,11.07,FUT,11.075,2023-10-04 11:09:46.849839
